state,county,population,applicants,d_i,n_i,ia_totalApprovedIhp,fema_per_applicant,num_disasters,disaster_list,x_i_utilitarian,y_i,pct_need_met,per_applicant_alloc
TX,Fayette County,25110.0,799.0,7930911.985714287,9926.04754156982,5551638.390000001,6948.233279098874,1,[4332],7930911.985714287,1,100.0,9926.04754156982
PR,Vieques,8577.0,3021.0,26555433.299999997,8790.279145978151,10622173.319999998,3516.111658391261,2,"[4336, 4339]",26555433.299999997,1,100.0,8790.279145978151
PR,Comerio,19502.0,6583.0,44327658.875,6733.65621677047,17731063.55,2693.462486708188,1,[4339],44327658.875,1,100.0,6733.65621677047
TX,Orange County,85056.0,28562.0,181811579.9142857,6365.505913951603,127268105.94,4455.854139766123,1,[4332],181811579.9142857,1,100.0,6365.505913951603
PR,Ciales,17539.0,6049.0,38111658.025000006,6300.489010580262,15244663.21,2520.1956042321044,1,[4339],38111658.025000006,1,100.0,6300.489010580262
PR,Orocovis,22005.0,7799.0,48663863.275,6239.756798948583,19465545.31,2495.902719579433,1,[4339],48663863.275,1,100.0,6239.756798948583
TX,Chambers County,41249.0,6016.0,37037664.571428575,6156.526690729484,25926365.200000003,4309.568683510639,1,[4332],37037664.571428575,1,100.0,6156.526690729484
VI,St. John,4170.0,2959.0,18161250.385714285,6137.631086757109,12712875.27,4296.341760729976,2,"[4335, 4340]",18161250.385714285,1,100.0,6137.631086757109
PR,Naranjito,29656.0,9647.0,58471889.45,6061.147449984452,23388755.78,2424.4589799937808,1,[4339],58471889.45,1,100.0,6061.147449984452
PR,Maunabo,11050.0,3697.0,21968841.525,5942.342852312686,8787536.61,2376.9371409250743,1,[4339],21968841.525,1,100.0,5942.342852312686
